Source,Exit,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14
RM,FV,53,83,23,55,40,21,29,73,22,62,94,18,8,39,61,78,21,19,56,31,93,71,59,20,11,19,61,61,31,72,33,71,23,86,50,50,39,38,61,52,82,55,23,23,69,53,18,17,2,56,61,4,73,78,29,26,15,15,14,55,93,53,61,34,48,31,93,35,10,27,69,76,97,31,61,66,8,52,8,39,76,9,36,78,65,84,61,16,5,54,10,5,22,38,53,44,26,60,61,92
RM,CL,29,20,80,2,5,65,27,15,41,77,71,14,70,33,17,30,10,57,6,33,18,61,19,52,16,87,17,59,35,29,68,60,70,9,11,39,76,64,17,63,9,46,81,28,90,90,87,65,6,23,17,50,32,87,44,38,99,17,72,3,75,11,17,13,1,46,22,98,5,72,54,50,20,45,17,60,14,85,60,84,72,83,52,40,39,35,17,57,56,27,72,15,58,36,90,32,26,39,17,82
RM,SL,74,98,57,15,9,75,45,92,17,24,61,73,63,71,63,54,62,45,14,48,54,59,97,91,79,81,63,23,22,36,90,25,84,20,99,22,97,14,63,44,75,22,39,51,97,73,32,27,33,3,63,67,31,46,61,34,66,24,86,84,59,60,63,97,98,47,43,72,60,57,1,59,56,85,63,70,31,85,18,59,77,40,10,69,98,17,63,62,36,50,95,86,26,55,26,80,54,6,63,83
RM,BF,50,61,83,20,60,44,86,40,1,44,90,68,61,59,35,72,2,91,15,5,95,35,65,47,45,87,35,93,15,54,15,51,11,18,16,66,52,46,35,81,60,49,62,55,59,76,97,97,15,93,35,18,29,9,70,77,33,98,17,93,59,52,35,30,6,97,46,72,84,50,92,89,36,56,35,28,23,51,10,52,34,36,27,70,91,98,35,83,56,10,83,2,89,52,92,78,89,91,35,37
RM,HY,58,90,17,41,96,88,10,35,88,6,62,28,8,81,27,77,60,73,64,53,88,67,32,64,17,89,27,57,70,45,84,44,7,29,34,55,71,37,27,30,26,63,13,84,15,38,59,11,26,72,27,39,26,73,78,25,96,76,79,43,31,26,27,87,30,75,85,35,25,21,9,92,92,41,27,11,56,72,65,55,30,93,70,63,16,5,27,10,14,90,14,53,76,39,90,15,19,50,27,95
RM,SH,12,50,30,82,97,25,48,44,36,58,26,0,6,71,74,53,85,6,42,32,64,42,49,52,52,85,74,42,16,59,1,52,51,29,69,20,61,73,74,2,49,42,37,9,82,2,19,37,46,62,74,5,12,5,11,11,97,7,29,98,54,7,74,77,50,25,54,33,18,25,25,13,43,52,74,1,32,19,15,8,32,67,53,2,42,43,74,99,90,1,7,5,0,99,64,38,79,61,74,46
RM,UC,45,56,42,14,17,96,8,4,36,89,75,6,42,40,86,41,31,77,79,72,37,16,20,99,100,71,86,73,45,76,32,84,47,79,96,7,59,0,86,42,84,38,24,40,48,81,94,49,31,76,86,98,85,60,36,86,34,62,56,28,72,90,86,38,26,67,12,78,21,31,97,11,97,13,86,37,39,76,74,97,49,46,54,54,58,70,86,76,89,15,81,78,34,61,38,23,64,60,86,27
RM,FM,82,58,13,6,57,97,55,65,81,32,40,12,9,1,83,5,11,93,87,65,66,42,9,79,56,3,83,51,89,51,1,45,28,35,15,80,4,85,83,98,27,85,28,93,58,46,93,61,26,67,83,29,83,67,47,15,26,46,13,64,51,51,83,29,95,47,48,2,86,73,52,92,10,40,83,18,98,6,23,94,14,38,15,48,47,68,83,76,54,33,5,44,50,36,55,54,30,4,83,14
RM,CN,27,90,24,22,6,50,98,45,52,37,88,3,50,78,41,88,95,84,27,88,21,15,21,1,29,35,41,29,60,36,27,23,35,29,55,99,88,24,41,84,76,16,98,11,72,28,41,55,69,83,41,72,45,66,62,6,32,23,16,97,29,3,41,98,61,53,93,35,32,37,89,50,100,73,41,63,67,85,38,16,56,19,74,94,51,54,41,70,60,57,30,54,98,5,26,95,47,6,41,51
RM,PH,8,42,54,10,94,94,20,73,27,6,13,54,12,88,82,71,11,67,48,14,94,4,29,100,96,93,82,10,86,79,57,66,11,79,20,17,85,63,82,51,40,97,57,55,42,87,90,46,11,20,82,43,53,9,11,77,32,40,79,98,75,59,82,12,83,3,41,57,56,50,29,90,31,91,82,4,31,8,57,73,21,18,4,58,54,55,82,40,96,57,55,95,80,50,72,54,93,16,82,8
RM,WC,2,69,85,7,93,43,33,5,35,83,94,86,79,11,85,77,38,32,13,60,59,13,33,98,34,40,85,19,36,79,43,80,72,9,55,23,47,80,85,3,80,94,0,49,6,13,98,53,86,74,85,48,63,64,58,89,35,60,78,37,80,2,85,75,20,28,75,38,42,15,82,10,11,33,85,46,96,7,85,60,91,81,10,10,34,25,85,5,35,52,37,70,37,13,71,45,22,27,85,27
RM,LF,85,37,70,61,85,41,99,39,98,64,98,25,66,73,33,60,96,80,36,20,68,1,86,15,22,69,33,31,92,25,59,4,3,24,51,92,70,81,33,26,14,7,55,44,32,54,59,73,10,98,33,48,40,15,47,11,39,53,78,59,61,64,33,45,48,29,95,45,97,72,47,65,12,34,33,17,74,36,90,58,99,97,41,69,21,31,33,20,80,74,14,96,54,15,52,84,87,13,33,56
RM,OR,7,26,90,90,41,92,7,96,52,66,75,27,86,20,74,27,23,95,84,9,4,99,63,7,23,96,74,36,69,31,58,35,91,83,49,44,53,2,74,27,99,21,64,6,16,70,38,48,6,17,74,32,17,57,20,87,23,8,59,16,64,37,74,6,64,8,30,76,58,91,74,35,29,56,74,4,83,55,1,40,92,43,51,37,8,25,74,35,60,36,75,17,23,85,7,23,73,36,74,47
RM,RR,7,31,49,86,6,83,36,10,96,69,30,8,2,89,99,24,47,31,19,95,82,29,3,17,37,93,99,77,93,41,81,18,96,67,78,99,2,52,99,100,21,98,15,32,61,36,25,9,55,13,99,54,79,19,73,7,32,51,58,8,35,31,99,59,1,45,50,3,62,48,9,67,30,4,99,17,48,93,96,81,30,73,34,78,11,26,99,75,69,73,96,32,46,66,24,33,87,18,99,9
RM,OW,16,95,71,22,80,35,66,48,51,54,86,24,29,73,26,86,4,89,49,100,66,6,27,50,44,10,26,12,53,51,56,1,87,92,4,17,14,70,26,18,18,14,47,39,42,21,78,44,80,84,26,71,48,33,9,11,17,24,10,49,73,86,26,58,83,54,100,33,14,78,9,62,52,12,26,81,84,26,30,45,33,44,53,81,3,28,26,37,53,98,61,45,87,62,28,86,17,45,26,81
RM,EM,42,77,49,85,63,79,75,57,95,94,70,39,31,73,57,87,21,38,71,23,52,43,92,73,65,81,57,94,63,69,58,28,32,74,53,71,48,99,57,99,8,72,13,13,41,94,47,16,5,65,57,20,7,2,2,1,18,10,35,55,17,55,57,78,47,28,5,96,18,75,98,20,75,94,57,54,35,88,82,46,31,11,92,94,33,31,57,64,43,70,29,11,62,81,28,26,83,8,57,26
RM,MT,9,17,84,90,25,77,49,90,48,33,58,17,42,35,44,4,95,22,25,76,24,88,51,34,64,92,44,58,23,46,22,61,81,98,77,38,35,73,44,58,30,0,34,27,74,38,65,94,65,23,44,98,41,47,88,78,41,50,100,10,8,67,44,16,68,46,43,27,30,57,13,62,3,46,44,90,31,29,70,88,94,73,98,49,21,36,44,27,70,98,100,14,17,9,85,2,71,32,44,37
RM,PL,12,69,44,82,41,30,80,68,66,7,9,59,10,36,65,46,53,3,61,79,98,48,46,53,43,58,65,71,1,90,48,76,75,39,48,77,9,85,65,5,47,14,81,20,35,55,22,42,24,83,65,90,48,22,53,73,8,54,19,11,69,14,65,67,86,87,40,46,79,12,71,8,4,81,65,63,7,79,4,93,96,84,34,40,94,62,65,58,9,29,71,50,92,33,92,35,94,21,65,86
RM,CC,80,2,37,52,32,71,13,9,88,31,23,47,37,52,80,60,84,29,0,61,45,78,60,94,10,6,80,55,31,18,89,25,65,55,22,91,50,59,80,40,15,52,84,90,100,41,38,91,15,14,80,74,97,16,13,13,17,99,26,89,41,58,80,7,73,3,75,44,21,85,10,62,85,66,80,87,99,12,7,2,63,74,44,49,48,75,80,56,19,44,63,31,87,25,12,79,16,31,80,6
RM,16,75,77,65,70,52,15,41,62,99,16,59,91,40,84,3,6,94,65,90,87,97,76,16,85,76,26,3,26,90,68,11,29,46,27,17,10,7,76,3,37,18,67,44,72,31,76,48,69,68,44,3,3,56,77,42,77,93,53,77,53,53,29,3,49,71,1,23,90,6,40,58,11,95,19,3,37,78,91,37,32,27,49,50,100,17,6,3,39,32,56,90,86,38,10,85,17,86,52,3,57
RM,24,61,38,23,77,37,50,1,74,53,50,68,92,85,41,66,95,5,65,63,97,24,2,78,14,24,85,66,80,51,88,1,64,37,48,17,20,99,74,66,80,59,6,94,29,67,11,1,99,91,94,66,10,80,63,41,89,9,21,13,77,20,36,66,98,52,95,72,42,19,80,79,29,50,73,66,59,41,14,98,32,96,72,11,96,99,35,66,76,90,86,5,71,67,36,54,44,88,27,66,72
RM,GP,21,88,85,12,94,7,58,48,44,3,94,36,84,5,85,24,13,81,91,32,11,69,72,41,98,23,85,98,9,74,88,77,22,96,100,22,42,93,85,11,31,93,44,77,90,3,35,21,7,68,85,95,21,67,72,1,63,84,12,1,81,49,85,65,76,56,3,32,58,40,75,85,25,47,85,11,50,87,85,17,27,72,80,84,67,96,85,24,69,14,25,47,82,9,39,21,51,52,85,77
RM,BP,99,24,85,20,93,70,89,28,12,37,5,98,6,58,55,90,73,37,72,36,3,87,19,21,19,17,55,39,36,32,6,72,91,79,0,14,70,98,55,58,24,71,36,76,97,4,25,50,53,94,55,82,48,11,60,84,55,15,61,76,3,3,55,62,80,24,47,89,100,89,33,44,23,67,55,75,67,86,87,14,3,71,91,21,93,32,55,65,84,87,95,44,15,56,9,85,10,62,55,86
RM,DC,43,43,5,76,99,18,30,78,91,99,26,96,71,58,37,96,22,49,54,11,11,0,77,53,8,41,37,68,14,53,29,93,89,79,30,7,76,10,37,55,86,30,6,65,37,4,88,20,10,54,37,91,99,62,48,80,83,77,52,87,9,25,37,64,26,5,16,98,8,15,71,10,7,91,37,57,36,49,5,51,91,27,50,46,2,22,37,46,2,20,84,11,50,14,35,30,2,91,37,99
RM,CM,17,79,9,14,67,71,53,10,79,87,74,47,24,90,85,60,88,18,40,70,57,31,47,53,34,81,85,89,40,3,3,69,78,68,14,56,54,65,85,36,62,50,20,11,60,51,72,55,96,88,85,21,38,28,61,80,2,60,6,85,41,13,85,60,10,28,67,15,32,13,10,3,84,3,85,42,3,65,20,21,38,58,86,17,71,69,85,40,64,68,8,18,23,26,19,14,75,85,85,47
RM,CV,10,79,99,74,39,97,75,83,50,28,78,55,3,80,98,36,20,52,47,18,64,37,91,20,54,88,98,80,33,94,71,36,71,89,73,66,19,77,98,65,12,30,13,33,68,41,26,64,92,52,98,2,34,13,74,27,89,22,8,86,92,55,98,55,32,1,23,10,54,14,50,74,12,76,98,6,36,72,27,31,86,25,4,37,89,56,98,17,51,7,36,10,98,6,43,62,84,18,98,50
RM,ED,6,8,29,95,18,64,11,34,77,4,74,87,25,61,33,51,29,92,6,63,66,14,97,28,42,68,33,94,44,82,1,9,69,88,81,18,63,42,33,70,13,84,36,63,57,53,87,53,15,21,33,99,6,71,43,66,87,44,96,52,92,24,33,34,84,61,33,46,55,43,26,37,63,24,33,97,67,40,41,66,39,8,53,70,66,65,33,24,22,16,76,57,39,1,85,92,35,48,33,65
RM,NC,49,29,67,10,9,98,19,80,48,3,92,91,24,38,20,72,87,2,57,65,71,33,80,78,71,44,20,23,82,24,81,36,16,8,90,47,8,18,20,8,73,35,99,5,32,12,3,95,71,85,20,31,49,45,77,88,6,17,67,24,99,97,20,50,18,61,1,13,84,63,21,19,32,9,20,52,22,44,45,25,57,34,87,22,64,50,20,81,39,49,51,31,26,28,89,73,30,17,20,30
RM,WP,44,63,75,45,75,82,71,88,15,68,48,34,1,29,43,0,13,59,11,46,66,73,41,96,26,57,43,45,96,2,13,75,99,67,75,75,83,77,43,59,96,34,20,75,54,63,17,73,72,58,43,24,95,35,53,42,88,44,66,78,83,71,43,58,96,2,17,77,8,60,60,41,97,26,43,1,61,20,16,10,83,95,42,93,5,90,43,62,29,82,59,48,56,87,51,91,28,20,43,28
RM,SS,38,63,94,93,11,16,86,45,72,75,89,1,27,65,7,5,54,68,2,11,26,45,87,55,65,57,7,99,70,80,100,3,35,74,75,99,23,47,7,55,25,74,13,41,34,61,94,40,17,29,7,2,92,61,58,26,35,56,44,71,71,47,7,71,80,57,50,47,70,52,38,75,36,83,7,44,68,12,78,51,55,63,30,11,55,8,7,7,100,65,88,55,48,13,22,0,29,46,7,23
RM,SB,1,38,49,12,45,37,56,86,70,21,17,20,26,100,22,53,78,53,86,18,86,49,53,14,12,43,22,9,87,92,86,0,42,79,96,15,78,20,22,40,47,26,70,25,17,21,91,100,81,16,22,51,71,83,7,50,13,21,79,22,89,73,22,100,3,99,75,89,35,30,41,68,45,79,22,54,71,45,25,76,21,71,63,92,41,30,22,17,91,40,96,78,93,89,61,30,63,21,22,35
RM,SO,72,46,61,19,78,65,34,78,7,32,58,46,9,21,59,89,20,9,10,12,83,64,14,29,9,59,59,19,42,87,63,65,44,94,90,41,74,75,59,81,47,53,88,69,42,5,47,58,6,13,59,37,81,92,92,21,31,36,58,8,27,78,59,39,85,69,50,53,11,35,75,91,86,57,59,62,71,11,45,66,96,17,95,91,29,61,59,13,44,4,100,97,70,73,86,26,47,93,59,82
RM,MB,11,2,25,38,2,78,13,94,19,29,29,59,89,27,43,9,66,33,53,52,90,85,66,94,2,76,43,13,84,56,93,91,94,8,56,43,97,32,43,30,30,89,40,22,34,19,2,15,14,89,43,73,73,47,27,31,60,24,80,44,66,12,43,74,50,92,80,74,27,64,6,9,10,9,43,74,15,66,38,93,65,78,33,96,40,29,43,39,95,3,2,21,95,29,97,49,31,88,43,96
RM,WD,29,71,18,83,82,77,70,66,93,86,38,83,85,0,32,36,74,34,17,46,98,84,17,38,5,55,32,33,22,30,55,4,36,46,62,25,83,65,32,96,17,54,65,84,87,25,29,43,88,15,32,70,2,58,58,91,37,87,49,83,27,60,32,45,58,50,39,14,32,94,49,95,4,89,32,85,19,94,58,67,93,23,91,42,15,64,32,38,79,48,4,7,50,98,1,68,3,45,32,15
RM,RM,88,3,64,28,54,68,74,74,76,6,49,84,16,45,68,4,94,70,27,3,54,43,28,46,83,76,68,49,39,10,49,94,32,36,85,72,11,16,68,72,30,18,23,49,53,62,82,89,11,12,68,67,78,41,35,2,71,12,97,5,34,41,68,95,7,77,0,87,94,80,98,53,94,31,68,100,83,0,41,48,35,54,3,51,89,57,68,68,15,26,33,70,97,78,72,15,50,7,68,92
